epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.455,1.37717,2.88686,1.14008,0.02345,0.4697,0.30022,0.15502,1.5529,4.15847,1.22746,0.0883,0.0013,0.0013
2,238.548,1.6755,2.24269,1.38896,0.01174,0.35758,0.01932,0.00735,3.18734,9.35334,4.56146,0.0756109,0.0026109,0.0026109
3,402.574,1.68348,2.11905,1.41856,4e-05,0.01515,2e-05,1e-05,3.76032,111.976,14.32,0.0628294,0.0038294,0.0038294
4,515.577,1.61508,1.69005,1.42186,0.00014,0.06061,0.00012,3e-05,4.21447,1477.61,21.7237,0.0499555,0.0049555,0.0049555
5,633.935,1.60581,1.56708,1.45025,5e-05,0.01515,2e-05,1e-05,4.19893,3204.39,20.0537,0.0369892,0.0059892,0.0059892
6,764.144,1.56728,1.54337,1.39662,0.03276,0.36247,0.0638,0.02909,2.75673,180.833,4.19657,0.0239305,0.0069305,0.0069305
7,939.039,1.6175,1.62798,1.42194,0.32764,0.1014,0.08514,0.02896,3.16807,70.981,3.725,0.0107794,0.0077794,0.0077794
8,1112.33,1.56497,1.3992,1.37153,0.34754,0.13182,0.00393,0.00112,2.98555,229.552,4.73976,0.00769,0.00769,0.00769
9,1288.81,1.39283,1.33195,1.28147,0.16488,0.15152,0.16836,0.06821,2.41981,34.4577,2.10927,0.00736,0.00736,0.00736
10,1467.28,1.57006,1.4024,1.38224,0.34772,0.41923,0.30153,0.1512,1.71138,46.914,1.52783,0.00703,0.00703,0.00703
11,1652.28,1.58175,1.30909,1.38398,0.47677,0.25268,0.16206,0.06684,2.02826,66.6615,1.71622,0.0067,0.0067,0.0067
