epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,531.039,1.73455,5.57301,1.32109,0.002,0.38484,0.00182,0.00087,0.69804,4.86752,0.91771,0.0847,0.0017,0.0017
2,1143.27,1.12924,4.09809,1.01173,0.00149,0.31639,0.02963,0.00763,0.85317,4.69314,0.94665,0.0683268,0.00332675,0.00332675
3,1749.48,1.28225,3.23555,1.10397,0.00478,0.75687,0.44994,0.36803,0.87548,4.49063,1.00361,0.0517753,0.0047753,0.0047753
4,2342.29,1.11149,2.24449,1.02251,0.00532,0.92788,0.76315,0.56981,0.90295,4.02313,1.00057,0.0350456,0.00604565,0.00604565
5,2854.12,1.28017,2.22515,1.11914,0.99539,0.33333,0.72071,0.53671,1.17305,3.67744,1.05564,0.0181378,0.0071378,0.0071378
6,3215.97,1.16708,2.22661,1.04763,0.77077,0.72732,0.78539,0.5821,1.13742,2.82091,1.0539,0.007525,0.007525,0.007525
7,3576.76,1.10941,2.07016,1.01848,0.75588,0.85384,0.82551,0.60307,1.1049,2.83327,1.06238,0.00703,0.00703,0.00703
8,3935.21,1.27595,2.09718,1.09195,0.75853,0.78212,0.81656,0.52802,1.20463,2.4387,1.07355,0.006535,0.006535,0.006535
9,4299.14,1.15076,2.11548,1.06477,0.79032,0.79487,0.84136,0.62282,1.09193,2.35012,1.07122,0.00604,0.00604,0.00604
10,4659.5,1.04196,1.84883,1.02041,0.80604,0.88972,0.8339,0.63448,0.97944,2.0205,1.02802,0.005545,0.005545,0.005545
11,5021.79,1.02079,2.34779,1.03059,0.76657,0.84615,0.82521,0.6332,0.92562,1.84214,0.98257,0.00505,0.00505,0.00505
12,5883.69,1.04256,2.28833,1.02495,0.7618,0.92308,0.87058,0.65488,0.91722,1.7964,0.99155,0.004555,0.004555,0.004555
