epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.4564,2.85803,3.70764,3.04485,0.00667,0.66667,0.06062,0.01745,3.53427,3.43146,3.14937,0,0,0
2,12.7422,2.92338,3.72867,2.9765,0.00667,0.66667,0.06062,0.01745,3.53427,3.43146,3.14937,1.9802e-05,1.9802e-05,1.9802e-05
3,18.8043,2.91274,3.30064,3.45549,0.00667,0.66667,0.07189,0.028,3.35624,3.34844,3.0822,3.9208e-05,3.9208e-05,3.9208e-05
4,24.5191,3.02693,4.07869,3.49956,0.00667,0.66667,0.07189,0.028,3.35624,3.34844,3.0822,5.8218e-05,5.8218e-05,5.8218e-05
5,30.5439,2.92216,3.43361,2.98927,0.00667,0.66667,0.07189,0.028,3.35624,3.34844,3.0822,7.6832e-05,7.6832e-05,7.6832e-05
6,37.7328,3.0067,3.2322,2.77108,0.00667,0.66667,0.07189,0.028,3.35624,3.34844,3.0822,9.505e-05,9.505e-05,9.505e-05
7,45.3147,2.7926,3.58479,2.73946,0.00667,0.66667,0.07189,0.028,3.35624,3.34844,3.0822,0.000112872,0.000112872,0.000112872
8,52.9843,3.12463,3.39129,3.55781,0.00333,0.33333,0.33611,0.13444,2.85878,3.10112,2.7839,0.000130298,0.000130298,0.000130298
9,59.6153,2.01126,4.11314,2.61118,0.00333,0.33333,0.33611,0.13444,2.85878,3.10112,2.7839,0.000147328,0.000147328,0.000147328
10,64.9018,2.58151,3.47193,2.75471,0.00333,0.33333,0.33611,0.13444,2.85878,3.10112,2.7839,0.000163962,0.000163962,0.000163962
11,69.876,2.30567,4.11258,2.93659,0.00333,0.33333,0.33611,0.13444,2.85878,3.10112,2.7839,0.0001802,0.0001802,0.0001802
12,74.9513,2.06595,3.86119,2.40213,0.00333,0.33333,0.33611,0.13444,2.85878,3.10112,2.7839,0.000196042,0.000196042,0.000196042
13,80.1058,2.48444,3.5838,2.63369,0.00333,0.33333,0.33611,0.13444,2.85878,3.10112,2.7839,0.000211488,0.000211488,0.000211488
14,85.2134,2.39,3.58721,2.54113,0.00333,0.33333,0.33611,0.13444,2.85878,3.10112,2.7839,0.000226538,0.000226538,0.000226538
15,90.366,2.73211,3.92276,3.02267,0.00333,0.33333,0.33611,0.13444,2.85878,3.10112,2.7839,0.000241192,0.000241192,0.000241192
16,96.2729,1.5125,4.14576,2.31301,0.00333,0.33333,0.33611,0.13444,2.85878,3.10112,2.7839,0.00025545,0.00025545,0.00025545
