epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,732.186,1.47542,3.01972,1.28819,0.52393,0.46526,0.46712,0.30839,1.32402,4.22943,1.17071,0.07426,0.00026,0.00026
2,1457.9,1.32082,1.35925,1.26627,0.85367,0.76362,0.82777,0.51265,1.60253,1.33571,1.21593,0.047495,0.00049502,0.00049502
3,2179.73,1.32953,1.44747,1.25046,0.67903,0.90799,0.76763,0.43235,1.69212,1.4676,1.28057,0.0206944,0.0006944,0.0006944
4,2900.26,1.29701,1.22177,1.20787,0.9952,0.65152,0.80014,0.48722,1.62372,1.3376,1.24082,0.000802,0.000802,0.000802
5,3613.25,1.22191,1.14964,1.14169,0.77178,0.85682,0.8011,0.44999,1.69639,1.43658,1.21859,0.000736,0.000736,0.000736
6,4317.89,1.30195,1.1634,1.15226,0.8707,0.86667,0.86353,0.48269,1.71663,0.99699,1.26054,0.00067,0.00067,0.00067
7,5034.75,1.20614,0.98211,1.10938,0.80711,0.87758,0.87605,0.56348,1.45555,0.95092,1.12673,0.000604,0.000604,0.000604
8,5752.75,1.25401,0.92082,1.13238,0.92339,0.85,0.90326,0.53969,1.56851,0.94432,1.13662,0.000538,0.000538,0.000538
9,6472.48,1.19912,0.87279,1.09318,0.95422,0.86667,0.92492,0.55628,1.53093,0.9051,1.12745,0.000472,0.000472,0.000472
10,7182.26,1.16816,0.80726,1.11491,0.96806,0.85,0.90708,0.5605,1.48618,0.8933,1.12776,0.000406,0.000406,0.000406
11,7898.69,1.09035,0.78044,1.06465,0.93509,0.83333,0.87015,0.49399,1.69966,0.86655,1.20922,0.00034,0.00034,0.00034
12,8615.61,1.1487,0.78168,1.1047,0.98137,0.81195,0.87653,0.49124,1.7136,0.8463,1.21755,0.000274,0.000274,0.000274
13,9322.53,1.15381,0.79656,1.12572,0.88803,0.88333,0.89961,0.52608,1.64118,0.81888,1.17906,0.000208,0.000208,0.000208
14,10042.4,1.10987,0.74223,1.09816,0.9161,0.93333,0.9406,0.54252,1.57942,0.79559,1.1518,0.000142,0.000142,0.000142
15,10742.7,1.13148,0.72311,1.0988,0.95592,0.88791,0.93905,0.55042,1.55613,0.79315,1.14636,7.6e-05,7.6e-05,7.6e-05
